datetime_utc,load_forecast_mw,solar_forecast_mw,wind_onshore_forecast_mw,wind_solar_total_forecast_mw
2015-01-01 00:00:00,24934.0,15.8,5856.0,5871.8
2015-01-01 01:00:00,23515.0,8.3,5454.0,5462.3
2015-01-01 02:00:00,22642.0,2.2,5151.0,5153.2
2015-01-01 03:00:00,21785.0,8.5,4861.0,4869.5
2015-01-01 04:00:00,21441.0,3.7,4617.0,4620.7
2015-01-01 05:00:00,21285.0,2.5,4276.0,4278.5
2015-01-01 06:00:00,21545.0,12.0,3994.0,4006.0
2015-01-01 07:00:00,21443.0,38.6,3602.0,3640.6
2015-01-01 08:00:00,21560.0,783.9,3212.0,3995.9
2015-01-01 09:00:00,22824.0,1995.8,2617.0,4612.8
2015-01-01 10:00:00,23720.0,2989.8,2450.0,5439.8
2015-01-01 11:00:00,24180.0,3842.2,2819.0,6661.2
2015-01-01 12:00:00,24797.0,3812.1,2830.0,6642.1
2015-01-01 13:00:00,25222.0,3698.7,2851.0,6549.7
2015-01-01 14:00:00,24173.0,3369.0,2822.0,6191.0
2015-01-01 15:00:00,23659.0,2615.3,2562.0,5177.3
2015-01-01 16:00:00,23982.0,1387.0,2578.0,3965.0
2015-01-01 17:00:00,26981.0,399.0,2824.0,3223.0
2015-01-01 18:00:00,28515.0,100.1,2801.0,2901.1
2015-01-01 19:00:00,30482.0,44.0,2999.0,3043.0
2015-01-01 20:00:00,30739.0,25.8,3185.0,3210.8
2015-01-01 21:00:00,29756.0,12.9,3446.0,3458.9
2015-01-01 22:00:00,27589.0,13.8,3482.0,3495.8
2015-01-01 23:00:00,23959.0,13.4,3494.0,3507.4
2015-01-02 00:00:00,21692.0,9.9,3189.0,3198.9
2015-01-02 01:00:00,20247.0,9.3,2892.0,2901.3
2015-01-02 02:00:00,19529.0,10.9,2902.0,2912.9
2015-01-02 03:00:00,19198.0,8.1,2749.0,2757.1
2015-01-02 04:00:00,19821.0,7.8,3068.0,3075.8
2015-01-02 05:00:00,21620.0,9.6,3166.0,3175.6
2015-01-02 06:00:00,24379.0,17.8,3141.0,3158.8
2015-01-02 07:00:00,27389.0,63.2,3165.0,3228.2
2015-01-02 08:00:00,30619.0,690.9,2907.0,3597.9
2015-01-02 09:00:00,32419.0,1797.3,2510.0,4307.3
2015-01-02 10:00:00,32029.0,3077.8,1945.0,5022.8
2015-01-02 11:00:00,31357.0,3567.9,1486.0,5053.9
2015-01-02 12:00:00,31338.0,3572.2,1267.0,4839.2
2015-01-02 13:00:00,30874.0,3473.6,1363.0,4836.6
2015-01-02 14:00:00,30124.0,2935.1,1426.0,4361.1
2015-01-02 15:00:00,29714.0,2383.0,1678.0,4061.0
2015-01-02 16:00:00,29801.0,1211.1,1807.0,3018.1
2015-01-02 17:00:00,32257.0,392.2,2050.0,2442.2
2015-01-02 18:00:00,33183.0,98.3,1933.0,2031.3
2015-01-02 19:00:00,34839.0,52.3,1872.0,1924.3
2015-01-02 20:00:00,34392.0,30.4,1755.0,1785.4
2015-01-02 21:00:00,32614.0,18.7,1938.0,1956.7
2015-01-02 22:00:00,30236.0,16.0,2014.0,2030.0
2015-01-02 23:00:00,25995.0,16.0,1965.0,1981.0
2015-01-03 00:00:00,23763.0,15.6,1891.0,1906.6
2015-01-03 01:00:00,22030.0,8.4,2097.0,2105.4
2015-01-03 02:00:00,20996.0,1.5,2336.0,2337.5
2015-01-03 03:00:00,20478.0,0.4,2475.0,2475.4
2015-01-03 04:00:00,20505.0,0.3,2729.0,2729.3
2015-01-03 05:00:00,21061.0,1.5,2903.0,2904.5
2015-01-03 06:00:00,22175.0,22.2,3203.0,3225.2
2015-01-03 07:00:00,23448.0,24.1,3262.0,3286.1
2015-01-03 08:00:00,25783.0,682.8,3278.0,3960.8
2015-01-03 09:00:00,28305.0,1777.0,3390.0,5167.0
2015-01-03 10:00:00,29050.0,2995.8,3212.0,6207.8
2015-01-03 11:00:00,29009.0,3830.7,2928.0,6758.7
2015-01-03 12:00:00,29215.0,3939.2,2906.0,6845.2
2015-01-03 13:00:00,28964.0,3690.8,3284.0,6974.8
2015-01-03 14:00:00,27909.0,3196.7,3604.0,6800.7
2015-01-03 15:00:00,27148.0,2437.9,3835.0,6272.9
2015-01-03 16:00:00,27431.0,1347.0,4333.0,5680.0
2015-01-03 17:00:00,30039.0,366.8,4817.0,5183.8
2015-01-03 18:00:00,31051.0,106.5,5033.0,5139.5
2015-01-03 19:00:00,31606.0,23.8,4925.0,4948.8
2015-01-03 20:00:00,31598.0,20.2,5028.0,5048.2
2015-01-03 21:00:00,30406.0,10.0,5059.0,5069.0
2015-01-03 22:00:00,28372.0,9.0,5026.0,5035.0
2015-01-03 23:00:00,25923.0,8.9,5120.0,5128.9
2015-01-04 00:00:00,23255.0,10.1,5135.0,5145.1
2015-01-04 01:00:00,21315.0,10.2,4989.0,4999.2
2015-01-04 02:00:00,20632.0,10.5,5139.0,5149.5
2015-01-04 03:00:00,20120.0,9.9,5102.0,5111.9
2015-01-04 04:00:00,20122.0,10.8,5154.0,5164.8
2015-01-04 05:00:00,20351.0,11.2,5102.0,5113.2
2015-01-04 06:00:00,21205.0,41.5,5118.0,5159.5
2015-01-04 07:00:00,21885.0,38.9,4992.0,5030.9
2015-01-04 08:00:00,24170.0,684.3,4820.0,5504.3
2015-01-04 09:00:00,26622.0,1752.8,4418.0,6170.8
2015-01-04 10:00:00,27611.0,3074.4,4066.0,7140.4
2015-01-04 11:00:00,27266.0,3610.1,3779.0,7389.1
2015-01-04 12:00:00,27460.0,3960.1,3762.0,7722.1
2015-01-04 13:00:00,27328.0,3737.6,3658.0,7395.6
2015-01-04 14:00:00,26126.0,3611.5,3503.0,7114.5
2015-01-04 15:00:00,25693.0,2507.4,3432.0,5939.4
2015-01-04 16:00:00,26061.0,1434.6,3391.0,4825.6
2015-01-04 17:00:00,28827.0,440.3,3496.0,3936.3
2015-01-04 18:00:00,30293.0,115.4,3674.0,3789.4
2015-01-04 19:00:00,31250.0,43.7,3592.0,3635.7
2015-01-04 20:00:00,31831.0,57.0,3172.0,3229.0
2015-01-04 21:00:00,30589.0,49.8,2702.0,2751.8
2015-01-04 22:00:00,28489.0,30.4,2268.0,2298.4
2015-01-04 23:00:00,25632.0,20.6,1603.0,1623.6
2015-01-05 00:00:00,23220.0,27.1,1199.0,1226.1
2015-01-05 01:00:00,21772.0,16.8,1090.0,1106.8
2015-01-05 02:00:00,21220.0,15.8,1096.0,1111.8
2015-01-05 03:00:00,21099.0,8.0,1226.0,1234.0
2015-01-05 04:00:00,21914.0,8.1,1097.0,1105.1
2015-01-05 05:00:00,24715.0,9.4,1119.0,1128.4
2015-01-05 06:00:00,28862.0,18.8,1335.0,1353.8
2015-01-05 07:00:00,32003.0,29.7,1501.0,1530.7
2015-01-05 08:00:00,33500.0,615.4,1624.0,2239.4
2015-01-05 09:00:00,34000.0,1792.2,1532.0,3324.2
2015-01-05 10:00:00,34500.0,2788.0,1380.0,4168.0
2015-01-05 11:00:00,34500.0,3703.9,1243.0,4946.9
2015-01-05 12:00:00,34000.0,3777.5,1263.0,5040.5
2015-01-05 13:00:00,33735.0,3657.3,1371.0,5028.3
2015-01-05 14:00:00,33292.0,3082.8,1439.0,4521.8
2015-01-05 15:00:00,32231.0,2322.3,1396.0,3718.3
2015-01-05 16:00:00,32816.0,1362.9,1418.0,2780.9
2015-01-05 17:00:00,34936.0,361.1,1562.0,1923.1
2015-01-05 18:00:00,35642.0,80.1,1765.0,1845.1
2015-01-05 19:00:00,35348.0,29.5,1824.0,1853.5
2015-01-05 20:00:00,35242.0,37.8,1824.0,1861.8
2015-01-05 21:00:00,33296.0,36.1,1818.0,1854.1
2015-01-05 22:00:00,30124.0,35.3,1993.0,2028.3
2015-01-05 23:00:00,26563.0,3.3,2316.0,2319.3
2015-01-06 00:00:00,23787.0,0.0,2414.0,2414.0
2015-01-06 01:00:00,21585.0,0.0,2820.0,2820.0
2015-01-06 02:00:00,20453.0,0.7,2901.0,2901.7
2015-01-06 03:00:00,19751.0,1.7,3147.0,3148.7
2015-01-06 04:00:00,19559.0,0.5,3239.0,3239.5
2015-01-06 05:00:00,20002.0,0.5,3357.0,3357.5
2015-01-06 06:00:00,20122.0,2.8,3380.0,3382.8
2015-01-06 07:00:00,20066.0,22.6,3195.0,3217.6
2015-01-06 08:00:00,21317.0,492.9,3180.0,3672.9
2015-01-06 09:00:00,23498.0,1239.8,2829.0,4068.8
